settled_at,process_before_settling,process_after_settling,mu,beta,observer,goal_correct,goal_error_reduction,goal_movement,process_accuracy,process_error_reduction,window_accuracy,whole_accuracy,recovered_mu,final_entropy
1,,,1,1.0,32,1,1.6294705313981563,1.6294705313930526,0.375,0.13320819250595228,0.38095238095238093,0.375,1.4326484182995518,2.9992017004342e-15
2,-0.12024718153062142,-0.0996700362202283,1,1.0,33,1,1.503146181844024,1.50314585800283,0.125,-0.10138479832942804,0.11904761904761904,0.125,1.4104458544019984,3.3865267680317554e-07
3,-0.061327713724323774,-0.027186500039274586,1,1.0,34,1,1.501954238856718,1.5019542388510556,0.20833333333333334,-0.03145415174990562,0.16666666666666666,0.20833333333333334,1.3421699744221183,1.202224885534938e-12
4,-0.04830506211829322,-0.01271755904659555,1,1.0,35,1,1.2500323640568927,1.2500323640494246,0.25,-0.01864880955854553,0.23809523809523808,0.25,1.2806411225937142,4.132569675091132e-12
1,,,1,1.0,36,1,1.082063911244525,1.0820639112415726,0.375,0.09127162267767774,0.42857142857142855,0.375,1.4397111497779567,1.7313784153731289e-15
2,-0.11644069708102611,-0.07063733825497431,1,1.0,37,1,1.2210518897252747,1.2210518897112819,0.375,-0.07445428482381211,0.35714285714285715,0.375,1.111076411071628,1.1044377899716691e-11
2,0.06401576719253188,0.0819329658935557,1,1.0,38,1,1.3819870586586729,1.3819870586538427,0.375,0.08043986600180375,0.3333333333333333,0.375,1.7369702945125924,8.732191799891629e-13
1,,,1,1.0,39,1,1.6426069900311906,1.6426069900260196,0.041666666666666664,-0.34368893274770884,0.047619047619047616,0.041666666666666664,1.852750537719708,2.3482606499218155e-15
1,,,1,0.25,0,0,-0.06124893169209211,0.07147909281267359,0.25,-0.0012543886696843032,0.2619047619047619,0.25,1.9753825952713109,1.2753772166651334
7,-0.0510283537606504,-0.02317902423273943,1,0.25,1,1,1.6355112866734616,1.473563480566494,0.041666666666666664,-0.03130174534504704,0.023809523809523808,0.041666666666666664,1.4834398814357574,0.18305606547557488
15,0.008251872189621645,-0.07473858089160679,1,0.25,2,1,1.111699276419933,1.0396747208687092,0.125,-0.022869547715839156,0.14285714285714285,0.125,1.5502981822848123,0.091454553337809
1,,,1,0.25,3,1,1.4126016744515182,1.393648818171707,0.375,0.05837608635331071,0.40476190476190477,0.375,1.7678075867529994,0.021721691126319775
9,0.0804506308516324,0.039511151076398576,1,0.25,4,0,-0.13624134284655454,0.15610398623282773,0.25,0.05486345599211151,0.2857142857142857,0.25,2.0180186663363964,1.1900647984889674
-1,,,1,0.25,5,1,0.395635932327695,0.033945228877741165,0.08333333333333333,-0.021634865875024056,0.07142857142857142,0.08333333333333333,1.9900041680716576,1.3419158836690166
19,-0.00411930238641367,0.2684505590943487,1,0.25,6,1,0.9398789337837645,0.4814848783268475,0.25,0.0526660854220784,0.2857142857142857,0.25,2.037524815526986,1.0177055379241218
3,-0.029882862813345845,-0.05492445028426296,1,0.25,7,1,0.7696759717382742,0.27981276489293283,0.3333333333333333,-0.05179425185039843,0.2857142857142857,0.3333333333333333,1.946071707877285,1.0740647711052518
7,0.013269324611850708,-0.1315310751994081,1,0.25,8,1,1.113796529041691,1.0766266333634755,0.16666666666666666,-0.0892976252544575,0.09523809523809523,0.16666666666666666,2.2111387124243667,0.046137340244039926
-1,,,1,0.25,9,1,1.1244254996127738,0.5909486296640539,0.20833333333333334,-0.006300715514948374,0.14285714285714285,0.20833333333333334,2.10569177999687,0.8239243481842478
6,-0.08560625356288143,-0.025246225893192697,1,0.25,10,1,1.4072348194314277,1.0306994296833367,0.16666666666666666,-0.04033623281061538,0.16666666666666666,0.16666666666666666,1.761237947474392,0.48058248357345495
11,0.0061423052623021945,0.04772186783798982,1,0.25,11,0,-0.14424676952111537,0.8226537421784369,0.041666666666666664,0.02866456832413311,0.047619047619047616,0.041666666666666664,1.7529090244954122,0.7481302752510886
-1,,,1,0.25,12,1,1.1083728084634172,0.4571448534844116,0.125,-0.0028324767243932403,0.14285714285714285,0.125,1.968783283958452,0.995142323394443
5,-0.05693568635762225,0.06691843085605864,1,0.25,13,1,1.381139340072148,1.3691633129997092,0.4583333333333333,0.04111548976987489,0.5000000000000001,0.4583333333333333,2.2218480848764663,0.013427191611342372
1,,,1,0.25,14,1,0.9760909787221361,0.3883951655325543,0.0,-0.1074943987180963,0.0,0.0,2.025288874096038,0.989341067775326
-1,,,1,0.25,15,1,1.3994837890182872,1.0541293066474642,0.4166666666666667,0.025118011051873834,0.4047619047619047,0.4166666666666667,1.7400176867763517,0.43366633204093036
4,0.026968808659279864,-0.023255180655884056,1,0.25,16,1,1.4100557596393122,1.3623098709787649,0.125,-0.014884515770023476,0.11904761904761904,0.125,1.6202268031959814,0.05507739085696914
-1,,,1,0.25,17,1,1.0760597952523723,0.3910801406554698,0.16666666666666666,-0.0016859342586164061,0.16666666666666666,0.16666666666666666,1.9041735567774711,1.111360282614658
-1,,,1,0.25,18,1,0.222358516599364,0.06929563845811718,0.041666666666666664,-0.03513472661312367,0.047619047619047616,0.041666666666666664,1.9960849620832604,1.3367627078066013
-1,,,1,0.25,19,1,1.0710618782557129,0.5537755088324912,0.20833333333333334,-0.03499010579066786,0.21428571428571427,0.20833333333333334,1.9552547573993324,0.827944095006633
-1,,,1,0.25,20,1,0.8114109788605639,0.2728398537166263,0.16666666666666666,-0.12266823521142678,0.19047619047619047,0.16666666666666666,1.9593185855215625,1.0544557261438485
4,0.02631092538432811,-0.05860344136184925,1,0.25,21,1,1.2685979195038275,1.265456577393696,0.20833333333333334,-0.044451046904153024,0.2380952380952381,0.20833333333333334,1.546892336470063,0.0035522460501431923
2,0.0925208555103485,-0.023075139046042636,1,0.25,22,1,1.674296987123113,1.6665506637647667,0.25,-0.013442139499676653,0.2619047619047619,0.25,1.5613509436912387,0.008337047123314845
-1,,,1,0.25,23,1,1.3868650283254715,0.8522533543312111,0.125,-0.04488498559840903,0.11904761904761904,0.125,2.019402382722039,0.6957957385199822
