arm,seed,encounter,probe_engagement,probe_correct,reserve
intent_empty,20014,0,0.17335697159030167,1,0.9918191984043314
intent_empty,20014,1,0.10662167568525578,1,0.9133316077396302
intent_empty,20014,2,0.03969928141179961,1,0.9131199020173912
intent_empty,20014,3,0.04360854146843933,1,0.9331199020173913
intent_empty,20014,4,0.1119881149157705,1,0.9284606977684402
intent_empty,20014,5,0.046477349676551,1,0.9484606977684402
intent_empty,20014,6,0.03076139636202026,1,0.8693206182182573
intent_empty,20014,7,0.6883278942301004,1,0.7898577881380381
intent_empty,20014,8,0.021392903708492273,1,0.7111810248550114
intent_empty,20014,9,0.0014952853066161325,1,0.6314580443688926
intent_empty,20014,10,0.0021875194217511173,1,0.6514580443688927
intent_empty,20014,11,0.0015573098954670842,1,0.5715518041513035
intent_empty,20014,12,0.0013414776581207504,1,0.5915518041513035
intent_empty,20014,13,0.002075280934529611,1,0.6115518041513035
intent_empty,20014,14,0.00029970185328262916,1,0.5322376205524509
intent_empty,20014,15,1.0520741776648644e-05,1,0.4534171773711878
intent_empty,20014,16,1.005701950512436e-06,1,0.3746828198944614
intent_empty,20014,17,5.778048863568261e-09,1,0.29556012718242136
intent_empty,20014,18,2.29518150317806e-13,1,0.21831458433293122
intent_empty,20014,19,2.055535528460169e-15,1,0.2
intent_empty,20014,20,1.4456722008957135e-12,1,0.22
intent_empty,20014,21,1.0469037753916955e-13,1,0.21373605166461995
intent_empty,20014,22,2.055535528460169e-15,1,0.2
intent_empty,20014,23,2.055535528460169e-15,1,0.2
intent_empty,20014,24,1.3968812186912503e-14,1,0.2
intent_empty,20014,25,7.801491670022317e-14,1,0.22
intent_empty,20014,26,6.29189090689428e-12,1,0.24
intent_empty,20014,27,8.172534796147206e-11,1,0.26
intent_empty,20014,28,2.055535528460169e-15,1,0.2
intent_empty,20014,29,4.303096385587323e-15,1,0.2
intent_empty,20015,0,0.1318985787789925,1,1.0
intent_empty,20015,1,0.1970512127192801,1,0.9210370197771153
intent_empty,20015,2,0.10766682998817065,1,0.9161886163042613
intent_empty,20015,3,0.10722234876117631,1,0.914968681412723
intent_empty,20015,4,0.024135606338160004,1,0.8364821990440046
intent_empty,20015,5,0.010921100756066955,1,0.7576944958398902
