tier,seed_rep,observer,true_goal,modal_goal,correct,first_skim_t,cum_deep,final_goal_entropy
CREATOR,2,16,1,1,1,2,2,0.016495611151995323
CREATOR,2,17,1,3,0,1,1,0.22004969458525067
CREATOR,2,18,1,1,1,1,1,0.2241674054618564
CREATOR,2,19,1,1,1,1,1,0.24282244218326957
CREATOR,2,20,2,2,1,2,2,0.016065619649718806
CREATOR,2,21,1,1,1,1,1,0.25291921156318214
CREATOR,2,22,1,1,1,2,2,0.013786143325483818
CREATOR,2,23,3,3,1,2,2,0.01604583765962266
CREATOR,2,24,0,0,1,2,2,0.016212449151748545
CREATOR,2,25,1,1,1,2,2,0.014146089735624156
CREATOR,2,26,3,3,1,1,1,0.20168597458722945
CREATOR,2,27,2,2,1,1,1,0.25218280256729814
CREATOR,2,28,2,2,1,2,2,0.01400541204723157
CREATOR,2,29,2,2,1,1,1,0.2925036178723387
CREATOR,2,30,2,2,1,1,1,0.20068649133479025
CREATOR,2,31,3,3,1,1,1,0.29974430260481644
CREATOR,2,32,3,3,1,1,1,0.28626009905909544
CREATOR,2,33,3,3,1,2,2,0.01398911279994686
CREATOR,2,34,0,0,1,1,1,0.3041501799500687
CREATOR,2,35,1,1,1,2,2,0.014579643250565332
CREATOR,2,36,2,2,1,3,3,0.15452988956228897
CREATOR,2,37,3,3,1,2,2,0.013829548427296874
CREATOR,2,38,2,2,1,1,1,0.27187665273759787
CREATOR,2,39,2,2,1,2,2,0.015785299941255188
CREATOR,2,40,0,0,1,1,1,0.26975371685818855
CREATOR,2,41,3,3,1,2,2,0.012875132330004058
CREATOR,2,42,1,1,1,2,2,0.013110886679270316
CREATOR,2,43,2,2,1,3,3,0.11255627225652345
CREATOR,2,44,1,1,1,1,1,0.29815379424527394
CREATOR,2,45,1,1,1,2,2,0.016850087481455903
CREATOR,2,46,3,3,1,1,1,0.2410699731979559
CREATOR,2,47,1,1,1,1,1,0.2161277358291012
CREATOR,2,48,1,1,1,2,2,0.014416940266002737
CREATOR,2,49,0,0,1,1,1,0.2529563886221462
CREATOR,2,50,3,3,1,1,1,0.2621044502637768
CREATOR,2,51,3,3,1,2,2,0.012966098954882758
CREATOR,2,52,1,3,0,1,1,0.21406539151541992
CREATOR,2,53,3,3,1,2,2,0.016358666460399574
CREATOR,2,54,1,1,1,1,1,0.28929261865797157
CREATOR,2,55,2,2,1,2,2,0.014720085481766395
CREATOR,2,56,2,2,1,2,2,0.01311308195465927
CREATOR,2,57,1,1,1,3,3,0.11082691639706276
CREATOR,2,58,3,3,1,1,1,0.28169107979964153
CREATOR,2,59,2,2,1,2,2,0.015502176047292513
CREATOR,2,60,0,0,1,1,1,0.2672345452294252
CREATOR,2,61,1,1,1,1,1,0.2982436826548046
CREATOR,2,62,3,3,1,2,2,0.01579776240548096
CREATOR,2,63,1,1,1,1,1,0.244936540597205
CREATOR,2,64,3,3,1,2,2,0.0129842088145471
CREATOR,2,65,2,2,1,1,1,0.19709655070685372
CREATOR,2,66,2,2,1,2,2,0.015567962597642628
CREATOR,2,67,2,2,1,1,1,0.30081536198784087
CREATOR,2,68,0,0,1,1,1,0.2362179668328277
CREATOR,2,69,0,0,1,2,2,0.013846618631695309
CREATOR,2,70,2,2,1,2,2,0.01377358753183773
CREATOR,2,71,0,0,1,2,2,0.014967407964568392
CREATOR,2,72,0,0,1,2,2,0.013522130679122394
