regime,reader,coverage,kappa,contamination,seed_rep,observer,creator_mi,oracle_mi,mi_ratio,ghost_col_err,frac_corpus_labelled
symmetric,naive,1.0,0.9,0.6,0,1,1.089954289424881,1.0887088433787815,1.0011439661335297,0.028952033267480644,1.0
symmetric,naive,1.0,0.9,0.6,0,2,1.0050444877657108,1.0887088433787815,0.9231526811581502,0.03305520433425455,1.0
symmetric,naive,1.0,0.9,0.6,0,3,1.1504900948770806,1.0887088433787815,1.0567472670714813,0.032225221622602586,1.0
symmetric,naive,1.0,0.9,0.6,0,4,1.0975352911938865,1.0887088433787815,1.0081072619817364,0.03423210416583018,1.0
symmetric,naive,1.0,0.9,0.6,0,5,1.0619905061403423,1.0887088433787815,0.9754586936618247,0.021642132054086844,1.0
symmetric,naive,1.0,0.9,0.6,1,0,0.9204879524733496,1.0887088433787815,0.8454858781312343,0.0346984612653394,1.0
symmetric,naive,1.0,0.9,0.6,1,1,0.897819749624152,1.0887088433787815,0.824664698081987,0.03556968727528684,1.0
symmetric,naive,1.0,0.9,0.6,1,2,0.8594197570666394,1.0887088433787815,0.7893935667863696,0.032683520912988866,1.0
symmetric,naive,1.0,0.9,0.6,1,3,0.863671081143048,1.0887088433787815,0.7932984896702646,0.030531927276356022,1.0
symmetric,naive,1.0,0.9,0.6,1,4,0.9863943567530228,1.0887088433787815,0.9060221773268341,0.039701249369347505,1.0
symmetric,naive,1.0,0.9,0.6,1,5,0.8976943557676021,1.0887088433787815,0.8245495214144026,0.03640913020325533,1.0
symmetric,naive,1.0,0.9,0.6,2,0,0.9814046904720651,1.0887088433787815,0.9014390729355146,0.028687469752386462,1.0
symmetric,naive,1.0,0.9,0.6,2,1,1.082927285497433,1.0887088433787815,0.9946895279518392,0.03560676284142093,1.0
symmetric,naive,1.0,0.9,0.6,2,2,0.899994703064459,1.0887088433787815,0.8266624346242538,0.03863438558355683,1.0
symmetric,naive,1.0,0.9,0.6,2,3,0.9326711829667231,1.0887088433787815,0.8566764095276389,0.03211981995757153,1.0
symmetric,naive,1.0,0.9,0.6,2,4,1.0195339556467442,1.0887088433787815,0.936461535926029,0.02430159732129967,1.0
symmetric,naive,1.0,0.9,0.6,2,5,0.963483804632553,1.0887088433787815,0.884978394813442,0.023835311844514206,1.0
symmetric,regime_aware,0.0,0.9,0.6,0,0,0.6180783886654468,1.0887088433787815,0.5677168808028192,2.520967575168588,0.0
symmetric,regime_aware,0.0,0.9,0.6,0,1,0.7867465474782032,1.0887088433787815,0.7226418268419262,2.2490862468984885,0.0
symmetric,regime_aware,0.0,0.9,0.6,0,2,0.7066120676534255,1.0887088433787815,0.649036766763529,2.7639779083805864,0.0
symmetric,regime_aware,0.0,0.9,0.6,0,3,0.8856502279505707,1.0887088433787815,0.8134867585000749,2.7952255007057536,0.0
symmetric,regime_aware,0.0,0.9,0.6,0,4,0.7389762908731059,1.0887088433787815,0.6787639279017068,2.5936650833204884,0.0
symmetric,regime_aware,0.0,0.9,0.6,0,5,0.9127296838938188,1.0887088433787815,0.8383597593101056,3.2821027227995483,0.0
symmetric,regime_aware,0.0,0.9,0.6,1,0,0.8163491757120074,1.0887088433787815,0.749832409901703,2.45960993784981,0.0
symmetric,regime_aware,0.0,0.9,0.6,1,1,0.8494252447336592,1.0887088433787815,0.7802134150922193,2.713327929353432,0.0
symmetric,regime_aware,0.0,0.9,0.6,1,2,0.568955047263742,1.0887088433787815,0.5225961474676772,1.678668104791057,0.0
symmetric,regime_aware,0.0,0.9,0.6,1,3,0.7569944421762851,1.0887088433787815,0.6953139462218119,2.6403422414365085,0.0
symmetric,regime_aware,0.0,0.9,0.6,1,4,0.7081135607371153,1.0887088433787815,0.6504159170228673,2.372736763867397,0.0
symmetric,regime_aware,0.0,0.9,0.6,1,5,0.8586496960273398,1.0887088433787815,0.7886862509195216,2.646263179880346,0.0
