arm,p_divergence,seed_rep,observer,latent,declared,diverged,latent_correct,declared_correct,self_report_correct,recovered_mu,mu_entropy,subgoal_entropy,final_entropy,artifact_trace_kl
human_unaware,0.0,1,44,2,2,0,1,1,1,1.9546350898783824,1.0965834059624326,1.3686832911232725,0.6624563127895731,0.2133397835999208
human_unaware,0.0,1,45,2,2,0,1,1,1,1.982435762947849,1.0983055456760416,1.3606996912206302,0.37673161464036614,0.2133397835999208
human_unaware,0.0,1,46,2,2,0,1,1,1,1.9541586628264183,1.0965408580433191,1.373214798882597,0.7583269619516574,0.2133397835999208
human_unaware,0.0,1,47,2,2,0,1,1,1,1.976512136977061,1.0980647794975715,1.3810571680879138,1.1473193995999778,0.2133397835999208
human_unaware,0.0,1,48,2,2,0,1,1,1,1.9635135693674057,1.097296364575231,1.3776708498121892,0.9501136202160125,0.2133397835999208
human_unaware,0.0,1,49,2,2,0,1,1,1,1.9612743203208183,1.0971308857683457,1.375350378880888,0.885295377851253,0.2133397835999208
human_unaware,0.0,1,50,2,2,0,1,1,1,1.9860808248126611,1.0984194256342432,1.358582877942083,0.31036747002847165,0.2133397835999208
human_unaware,0.0,1,51,2,2,0,1,1,1,1.9819564480034586,1.0982886249782056,1.3608972009086224,0.3708286763113313,0.2133397835999208
human_unaware,0.0,1,52,2,2,0,1,1,1,1.9705717747542284,1.097754398956934,1.3795353752144688,1.0454547774013248,0.2133397835999208
human_unaware,0.0,1,53,2,2,0,1,1,1,1.9587629337158279,1.0969337778804196,1.3778294780375508,0.9782527945888451,0.2133397835999208
human_unaware,0.0,1,54,2,2,0,1,1,1,1.9777005001578127,1.0981185962804694,1.3603921665160434,0.4586184568685684,0.2133397835999208
human_unaware,0.0,1,55,2,2,0,1,1,1,1.9800127268421186,1.0982153809118236,1.3816899585865565,1.1882816085049694,0.2133397835999208
human_unaware,0.0,1,56,2,2,0,1,1,1,1.9568129057761587,1.0967723446147548,1.3689329892392545,0.6157759391750499,0.2133397835999208
human_unaware,0.0,1,57,2,2,0,1,1,1,1.9536594958280395,1.0964958117896952,1.3711589493431315,0.5742231931004225,0.2133397835999208
human_unaware,0.0,1,58,2,2,0,0,0,1,2.0,1.0986122886681096,1.3862943611198906,1.3698098078174192,0.2133397835999208
human_unaware,0.0,1,59,2,2,0,1,1,1,1.974483464004233,1.097966526194837,1.379200981928148,1.0712723824627732,0.2133397835999208
human_unaware,0.0,1,60,2,2,0,1,1,1,1.9725315919097384,1.0978644065226288,1.377423242721358,0.9829819157437596,0.2133397835999208
human_unaware,0.0,1,61,2,2,0,1,1,1,1.9664059083205072,1.0974957469134952,1.374784811188375,0.9761738114370859,0.2133397835999208
human_unaware,0.0,1,62,2,2,0,1,1,1,1.9483994850706288,1.095992098146616,1.3674789958507718,0.6985614645991893,0.2133397835999208
human_unaware,0.0,1,63,2,2,0,1,1,1,1.9855949508827306,1.0984057583778406,1.3545658847089237,0.30621284962683293,0.2133397835999208
human_unaware,0.0,1,64,2,2,0,1,1,1,2.0,1.0986122886681096,1.3862943611198906,1.362624503288441,0.2133397835999208
human_unaware,0.0,1,65,2,2,0,0,0,1,2.0,1.0986122886681096,1.3862943611198906,1.3479025153180983,0.2133397835999208
human_unaware,0.0,1,66,2,2,0,1,1,1,1.9693056170462508,1.0976793522597348,1.3626576623469637,0.4841036834914044,0.2133397835999208
human_unaware,0.0,1,67,2,2,0,1,1,1,1.9808455007899326,1.098247670338429,1.3624658872018414,0.3949403915883962,0.2133397835999208
human_unaware,0.0,1,68,2,2,0,1,1,1,1.979931825573251,1.098212171557231,1.3795757647677909,1.1282117330352022,0.2133397835999208
human_unaware,0.0,1,69,2,2,0,1,1,1,1.9653543557369133,1.0974251333246607,1.3563343837882367,0.5996404001878879,0.2133397835999208
human_unaware,0.0,1,70,2,2,0,1,1,1,1.9618069971379897,1.09717112854013,1.366959373683223,0.5321735710802542,0.2133397835999208
human_unaware,0.0,1,71,2,2,0,1,1,1,1.978593823368056,1.0981572310748733,1.3616579720405229,0.40425867643939883,0.2133397835999208
human_unaware,0.0,1,72,2,2,0,1,1,1,1.957705583567126,1.0968471537701245,1.3681222654236078,0.5438160149430137,0.2133397835999208
human_unaware,0.0,1,73,2,2,0,1,1,1,1.9847467072941005,1.0983807820261478,1.3551184027568022,0.33700779116023594,0.2133397835999208
human_unaware,0.0,1,74,2,2,0,1,1,1,1.9424762042457662,1.0953615656619888,1.377798193973262,0.9104231051158307,0.2133397835999208
human_unaware,0.0,1,75,2,2,0,0,0,1,2.0,1.0986122886681096,1.3862943611198906,1.358194169385705,0.2133397835999208
human_unaware,0.0,1,76,2,2,0,1,1,1,1.9583434916225475,1.0968996725185105,1.3655582707674392,0.5608227607222395,0.2133397835999208
human_unaware,0.0,1,77,2,2,0,1,1,1,1.9575416407420931,1.0968335298405476,1.3704900702148322,0.6140789654314657,0.2133397835999208
human_unaware,0.0,1,78,2,2,0,1,1,1,1.9518008062482197,1.0963238741333425,1.3689021932295171,0.6608859765738262,0.2133397835999208
human_unaware,0.0,1,79,2,2,0,1,1,1,1.9855252209731509,1.0984037587170166,1.3583625062195828,0.2677878319578665,0.2133397835999208
human_unaware,0.0,1,80,2,2,0,1,1,1,1.9517676397185928,1.096320745915111,1.3704467396879794,0.6064075667846816,0.2133397835999208
human_unaware,0.0,1,81,2,2,0,1,1,1,1.9750547772756544,1.0979950097561557,1.3776618335045512,1.1375273117125708,0.2133397835999208
human_unaware,0.0,1,82,2,2,0,1,1,1,1.9746446818788315,1.0979746284857428,1.3645047551467264,0.4830507144840993,0.2133397835999208
human_unaware,0.0,1,83,2,2,0,1,1,1,1.9775976319051867,1.0981140470313506,1.3635661639099426,0.40786755366504185,0.2133397835999208
human_unaware,0.0,1,84,2,2,0,0,0,1,1.9688196124607698,1.0976497182843126,1.3855258928130711,0.9734369322655002,0.2133397835999208
human_unaware,0.0,1,85,2,2,0,1,1,1,1.98200878466074,1.0982904945264793,1.3551397828349487,0.3959122507964782,0.2133397835999208
human_unaware,0.0,1,86,2,2,0,1,1,1,1.982606538858042,1.0983114652198378,1.3604767271003464,0.3925879662328764,0.2133397835999208
human_unaware,0.0,1,87,2,2,0,1,1,1,1.959767504208477,1.097014082179571,1.3737468035103437,0.885901566884759,0.2133397835999208
human_unaware,0.0,1,88,2,2,0,0,0,1,1.9716540037984747,1.097816071108919,1.3857267073354338,1.0204603750955412,0.2133397835999208
human_unaware,0.0,1,89,2,2,0,1,1,1,1.9518288305306064,1.0963265156991293,1.3700786364042772,0.7171355879371359,0.2133397835999208
human_unaware,0.0,1,90,2,2,0,1,1,1,1.9828987534753437,1.0983214610860605,1.3605288830052944,0.35946479503305706,0.2133397835999208
human_unaware,0.0,1,91,2,2,0,1,1,1,1.9773915329360552,1.098104870161655,1.3782581976149526,1.0892652310964428,0.2133397835999208
human_unaware,0.0,1,92,2,2,0,1,1,1,1.9497656071357705,1.0961280147421246,1.3723247099159332,0.7298755439359239,0.2133397835999208
