kappa,signing_rate,contamination,seed_rep,observer,exposure,ghost_col_err,creator_mi,oracle_mi,mi_ratio,ghost_col_entropy,time_to_competence
0.1,0.0,0.3,2,4,500,3.7444476405754745,0.8861167151201417,1.0887088433787815,0.8139152359322258,1.133342417513008,
0.1,0.0,0.3,2,4,600,3.7641559543243974,0.9020921606823831,1.0887088433787815,0.8285889897640235,1.1200777119856262,
0.1,0.0,0.3,2,4,-1,3.7641559543243974,0.9020921606823831,1.0887088433787815,0.8285889897640235,1.1200777119856262,600.0
0.1,0.0,0.3,2,5,100,3.600046344097237,0.9329578785883211,1.0887088433787815,0.8569397449669913,1.0626794905698203,
0.1,0.0,0.3,2,5,200,3.646473577246806,0.9124358495276701,1.0887088433787815,0.8380898667966612,1.0892277695944865,
0.1,0.0,0.3,2,5,300,3.6351467278566085,0.9036336057874339,1.0887088433787815,0.8300048367229469,1.1028244010479487,
0.1,0.0,0.3,2,5,400,3.607630293625792,0.8875749329620642,1.0887088433787815,0.8152546370501565,1.113957767597467,
0.1,0.0,0.3,2,5,500,3.645753200766019,0.8964510053028495,1.0887088433787815,0.8234074801126218,1.1091958694164181,
0.1,0.0,0.3,2,5,600,3.677415432396732,0.9092465830895113,1.0887088433787815,0.8351604642685612,1.102578983368506,
0.1,0.0,0.3,2,5,-1,3.677415432396732,0.9092465830895113,1.0887088433787815,0.8351604642685612,1.102578983368506,600.0
0.1,0.0,0.3,2,6,100,3.592435989500097,0.8386985104082935,1.0887088433787815,0.7703607034231604,1.163623895102288,
0.1,0.0,0.3,2,6,200,3.5947752238061246,0.7835677289628564,1.0887088433787815,0.7197220209317607,1.2136934060427278,
0.1,0.0,0.3,2,6,300,3.584299386932457,0.7930276248540462,1.0887088433787815,0.7284111171476335,1.2110530682093577,
0.1,0.0,0.3,2,6,400,3.5997777702134393,0.8149754780412897,1.0887088433787815,0.7485706421856858,1.1885774292719997,
0.1,0.0,0.3,2,6,500,3.5481891697830044,0.7998905604109434,1.0887088433787815,0.7347148553772214,1.1990115546044482,
0.1,0.0,0.3,2,6,600,3.588096812080677,0.8068197640367644,1.0887088433787815,0.7410794621019324,1.197725997302189,
0.1,0.0,0.3,2,6,-1,3.588096812080677,0.8068197640367644,1.0887088433787815,0.7410794621019324,1.197725997302189,600.0
0.1,0.0,0.3,2,7,100,3.5090398474025104,0.9096065628721868,1.0887088433787815,0.8354911126185445,1.0319043667672692,
0.1,0.0,0.3,2,7,200,3.6112151179381233,0.916507612156204,1.0887088433787815,0.841829859039121,1.0422592958551897,
0.1,0.0,0.3,2,7,300,3.662311043725976,0.926271188423046,1.0887088433787815,0.8507978915174289,1.0649566286701788,
0.1,0.0,0.3,2,7,400,3.679849158719987,0.9076758662234652,1.0887088433787815,0.8337177306344965,1.094732878188231,
0.1,0.0,0.3,2,7,500,3.7049610776664803,0.9076616119124821,1.0887088433787815,0.8337046377758596,1.1013110275576894,
0.1,0.0,0.3,2,7,600,3.746913122191738,0.9124157098225092,1.0887088433787815,0.8380713680903419,1.109032417057197,
0.1,0.0,0.3,2,7,-1,3.746913122191738,0.9124157098225092,1.0887088433787815,0.8380713680903419,1.109032417057197,600.0
0.1,0.0,0.6,0,0,100,2.7943018235987434,0.7590591496959507,1.0887088433787815,0.6972104197668029,1.0278937567768203,
0.1,0.0,0.6,0,0,200,2.696755475095618,0.642106142019333,1.0887088433787815,0.5897868341241467,1.051926620464974,
0.1,0.0,0.6,0,0,300,2.6649665592291787,0.6335190207973428,1.0887088433787815,0.581899398218565,1.0617187394161265,
0.1,0.0,0.6,0,0,400,2.621774410045741,0.6337991768895792,1.0887088433787815,0.5821567269744947,1.0512851737243118,
0.1,0.0,0.6,0,0,500,2.6688060031118974,0.6437434224311457,1.0887088433787815,0.5912907076544943,1.0216241871460934,
0.1,0.0,0.6,0,0,600,2.6466846956695513,0.649050094865865,1.0887088433787815,0.5961649882915929,1.0067213760284557,
0.1,0.0,0.6,0,0,-1,2.6466846956695513,0.649050094865865,1.0887088433787815,0.5961649882915929,1.0067213760284557,600.0
0.1,0.0,0.6,0,1,100,2.5721719325185646,0.7428168935834925,1.0887088433787815,0.6822915953159508,1.0799500821866408,
