half,arm,contamination,seed_rep,observer,artifact_index,eff_sample_count,creator_col_kl,col_change_rate,deep_per_genuine,generation,deep_per_artifact
starvation,starvation_only,0.0,0,3,175,67.68644492570846,0.1316241416283031,0.006875009134921593,1.5485714285714285,,
starvation,starvation_only,0.0,0,3,200,77.17751697010576,0.12295484559360201,0.008068081460208145,1.545,,
starvation,starvation_only,0.0,0,3,225,87.66954797793267,0.13311035538130803,0.009600814701391413,1.56,,
starvation,starvation_only,0.0,0,3,250,100.91245331217891,0.16277503247641764,0.00785227481727601,1.616,,
starvation,starvation_only,0.0,0,3,275,112.90439215351627,0.17608270875615742,0.003101639635777258,1.6436363636363636,,
starvation,starvation_only,0.0,0,3,300,122.89599259221373,0.1742943075525978,0.0049743607348604725,1.64,,
starvation,starvation_only,0.0,0,3,325,134.13741000483395,0.1733960579932198,0.0032580351218473246,1.6523076923076923,,
starvation,starvation_only,0.0,0,3,350,144.37876327068605,0.17197775245285352,0.0031854437600222912,1.6514285714285715,,
starvation,starvation_only,0.0,0,3,375,154.87107451470968,0.18693082938166022,0.0030789121953418317,1.6533333333333333,,
starvation,starvation_only,0.0,0,3,400,166.61335178788096,0.19173874552836406,0.0031210159370458506,1.6675,,
starvation,starvation_only,0.0,0,4,25,11.734245201429385,0.28601221914554165,0.06440815028664403,1.88,,
starvation,starvation_only,0.0,0,4,50,21.975915511209532,0.3106392754007401,0.02171892597746551,1.76,,
starvation,starvation_only,0.0,0,4,75,33.96688322628725,0.22709364765141182,0.019159666429662655,1.8133333333333332,,
starvation,starvation_only,0.0,0,4,100,47.45764903049012,0.2058787770812297,0.0144132346897706,1.9,,
starvation,starvation_only,0.0,0,4,125,58.69942986525349,0.21076473407753016,0.006119009837919245,1.88,,
starvation,starvation_only,0.0,0,4,150,70.44106797656913,0.2069667789251184,0.010134894386395229,1.88,,
starvation,starvation_only,0.0,0,4,175,83.68294874582602,0.22649808189648252,0.011255346324147647,1.9142857142857144,,
starvation,starvation_only,0.0,0,4,200,94.62429273641305,0.2088005244995207,0.00885515608026297,1.895,,
starvation,starvation_only,0.0,0,4,225,106.36684141443715,0.22759667768885966,0.006076743642294222,1.8933333333333333,,
starvation,starvation_only,0.0,0,4,250,118.85908140663004,0.236667310773588,0.003298949018403248,1.904,,
