omega,seed_rep,observer,foreign_goal,matches_foreign_goal,modal_goal,final_entropy,engaged_fraction,cum_deep
0.0,1,145,2,0,3,1.3658161330231884,0.0,10
0.0,1,146,2,0,1,1.3822904531084317,0.0,10
0.0,1,147,2,0,3,1.3633265595868154,0.0,10
0.0,1,148,2,0,3,1.3774410259542478,0.0,10
0.0,1,149,2,0,3,1.3599969405328196,0.0,10
0.0,1,150,2,0,3,1.3739194498563427,0.0,10
0.0,1,151,2,0,3,1.3717328352353482,0.0,10
0.0,1,152,2,1,2,1.378493095562241,0.0,10
0.0,1,153,2,0,0,1.3268431327836927,0.0,10
0.0,1,154,2,1,2,1.344789873549903,0.0,10
0.0,1,155,2,0,3,1.3623507000405022,0.0,10
0.0,1,156,2,0,1,1.3716294617495204,0.0,10
0.0,1,157,2,1,2,1.3738676982036466,0.0,10
0.0,1,158,2,1,2,1.3667480094662883,0.0,10
0.0,1,159,2,0,3,1.3795125655974871,0.0,10
0.0,1,160,2,0,0,1.3442435192146274,0.0,10
0.0,1,161,2,0,1,1.3766120941329887,0.0,10
0.0,1,162,2,0,0,1.3543647450260838,0.0,10
0.0,1,163,2,0,1,1.3678731362945393,0.0,10
0.0,1,164,2,0,0,0.8900829023710963,0.0,10
0.0,1,165,2,0,1,1.371611469423302,0.0,10
0.0,1,166,2,0,1,1.3682285619830385,0.0,10
0.0,1,167,2,0,3,1.3658264376377547,0.0,10
0.0,1,168,2,1,2,1.3626247655344434,0.0,10
0.0,1,169,2,0,1,1.3814558705674889,0.0,10
0.0,1,170,2,0,1,1.3798673974709357,0.0,10
0.0,1,171,2,0,1,1.357311668521443,0.0,10
0.0,1,172,2,0,3,1.374226790152821,0.0,10
0.0,1,173,2,0,1,1.378565167415819,0.0,10
0.0,1,174,2,0,1,1.3770029151211933,0.0,10
0.0,1,175,2,0,3,1.3659526761948917,0.0,10
0.0,1,176,2,1,2,1.353514986273374,0.0,10
0.0,1,177,2,0,3,1.3757113407969945,0.0,10
0.0,1,178,2,0,3,1.378822740619079,0.0,10
0.0,1,179,2,0,3,1.366984605498499,0.0,10
0.0,1,180,2,1,2,1.3749353666447204,0.0,10
0.0,1,181,2,1,2,1.3827534557740728,0.0,10
0.0,1,182,2,0,0,1.3379566624395025,0.0,10
0.0,1,183,2,0,0,1.3744105607963206,0.0,10
0.0,1,184,2,0,3,1.3722817113480732,0.0,10
0.0,1,185,2,0,3,1.3788611137349975,0.0,10
0.0,1,186,2,1,2,1.3651994812039736,0.0,10
0.0,1,187,2,0,1,1.3406525926846142,0.0,10
0.0,1,188,2,0,1,1.3670284191469375,0.0,10
0.0,1,189,2,0,0,1.3608352417486094,0.0,10
0.0,1,190,2,1,2,1.379698675189415,0.0,10
0.0,1,191,2,0,0,1.3822289551806877,0.0,10
0.0,1,192,2,0,0,1.3608030040055035,0.0,10
0.0,1,193,2,0,3,1.3781332371599997,0.0,10
0.0,1,194,2,0,0,1.373665545935033,0.0,10
0.0,1,195,2,0,3,1.364627642390654,0.0,10
0.0,1,196,2,0,1,1.369530292930948,0.0,10
0.0,1,197,2,0,3,1.3520137622979245,0.0,10
0.0,1,198,2,1,2,1.3791858184672656,0.0,10
0.0,1,199,2,0,3,1.3466514193165953,0.0,10
0.0,2,0,2,1,2,1.3693450847071091,0.0,10
0.0,2,1,2,0,1,1.3498208896390076,0.0,10
0.0,2,2,2,1,2,1.3742750774305534,0.0,10
0.0,2,3,2,0,0,1.3667264547032731,0.0,10
0.0,2,4,2,0,1,1.3748020803186054,0.0,10
0.0,2,5,2,0,1,1.3167208043693406,0.0,10
0.0,2,6,2,0,1,1.3695801652073425,0.0,10
0.0,2,7,2,0,1,1.3701785561925666,0.0,10
0.0,2,8,2,1,2,1.375924912211816,0.0,10
0.0,2,9,2,0,1,1.3757506100260797,0.0,10
0.0,2,10,2,0,0,1.3799775895177753,0.0,10
