true_beta,true_mu,seed_rep,observer,true_goal,recovered_mu,mu_posterior_entropy,goal_correct,goal_entropy,subgoal_entropy,realised_blocks
1.0,1,2,13,2,1.5565567548916746,0.9356958699907119,1,6.951756642137113e-15,1.3689392158382496,3
1.0,1,2,14,2,1.4462960317948228,0.8376637407520868,1,1.3189404290708417e-13,1.3785980272246396,3
1.0,1,2,15,2,1.5464432612968388,0.9268839401112969,1,5.539770762215899e-15,1.3804107072738934,3
1.0,1,2,16,2,1.8365371889099036,1.0772636715115227,1,3.308557066485112e-15,1.3377543391605866,3
1.0,1,2,17,2,1.5438650285912328,0.9292781120806581,1,3.5295697998951355e-15,1.372505851723364,3
1.0,1,2,18,2,1.06287246464107,0.2354807741041698,1,3.233667014074126e-15,1.3846112205759704,3
1.0,1,2,19,2,1.661647062606184,0.9265874671817105,1,5.828730209526368e-14,1.3536144224560047,3
1.0,1,2,20,2,2.2358980278160363,1.04437819241875,1,2.8518059696695466e-15,1.2693413574262957,3
1.0,1,2,21,2,2.0043355215412637,1.0909633605466669,1,4.717670067739104e-15,1.3396173734407253,3
1.0,1,2,22,2,1.6322150786019183,0.9936849905616179,1,3.110674271512897e-15,1.3530300218563638,3
1.0,1,2,23,2,1.553713754569494,0.9431220849173745,1,4.470677783440096e-15,1.36954636430821,3
1.0,1,2,24,2,1.572710989254217,0.9338246531728289,1,3.1110772286017328e-15,1.3626956035807551,3
1.0,1,2,25,2,1.4766190946214977,0.862913451594452,1,4.4795666722332204e-15,1.3817211160292235,3
1.0,1,2,26,2,1.5426583200117738,0.9124282403471684,1,7.903848430433002e-14,1.3730030768171173,3
1.0,1,2,27,2,1.1790860064903068,0.45803767955450725,1,7.629711159868755e-14,1.3854843263906627,3
1.0,1,2,28,2,1.8065628990035605,1.067508480957871,1,4.583959689486503e-15,1.3479377984032501,3
1.0,1,2,29,2,1.1948217856648748,0.5179544109905554,1,2.3287665266750553e-12,1.3702005832746909,3
1.0,1,2,30,2,1.6112946902212475,0.9753954198442703,1,3.1920870373603435e-15,1.3440787057520902,3
1.0,1,2,31,2,2.482349884637733,0.8768280884265569,1,2.683895991889362e-15,1.2328674857196416,3
1.0,1,2,32,2,1.4250413201026617,0.8147130682562863,1,3.4592446256202262e-15,1.3687551896206271,3
1.0,1,2,33,2,1.376992032066079,0.7542608226095666,1,3.174723431735886e-15,1.367854930910482,3
1.0,1,2,34,2,1.0089141338200287,0.043433867718621164,1,1.0930641607100945e-13,1.386281360754497,3
1.0,1,2,35,2,1.094230990894293,0.26359482605795936,1,3.724128783735487e-15,1.3859008718285284,3
1.0,1,2,36,2,1.5240869042845777,0.9174277886155513,1,7.51809087830666e-09,1.3747684661377848,3
1.0,1,2,37,2,1.2428279342993984,0.5820617811228443,1,3.4108445138296168e-15,1.3827273721852473,3
1.0,1,2,38,2,1.5049413736720334,0.897626763592013,1,3.2987451183993234e-15,1.3390607384636828,3
1.0,1,2,39,2,1.6338210962492457,0.9880564356157595,1,4.832327153407162e-15,1.35574170178629,3
