cell,t,meanfield_epistemic_total,exact_epistemic_total,epistemic_total_abs_error,meanfield_epistemic_goal,exact_epistemic_goal,epistemic_goal_abs_error,meanfield_pragmatic,exact_pragmatic,pragmatic_abs_error,joint_vs_product_kl
human work read correctly,9,9.00130658543219e-06,1.1119993814645568e-12,9.001305473432808e-06,9.138086363890352e-13,9.140306809217742e-13,2.2204453273898258e-16,-8.974036646991054,-8.974036646991053,1.7763568394002505e-15,-1.1102207809221429e-16
human work read correctly,10,9.001306272793386e-06,1.7319479184152442e-14,9.001306255473907e-06,1.9662266832260268e-14,1.9884311437160536e-14,2.2204460490026739e-16,-8.974036646991054,-8.974036646991054,0.0,-1.1102230237782935e-16
human work read correctly,11,9.001306266576137e-06,-6.661338147750939e-15,9.001306273237475e-06,3.099401738282564e-16,3.0994017382824537e-16,1.1044052673094165e-29,-8.974036646991053,-8.974036646991053,0.0,3.174297860111889e-29
human work read correctly,12,9.001306266576137e-06,-7.105427357601002e-15,9.001306273681564e-06,9.392711011674097e-18,9.392711011674146e-18,4.930380657631324e-32,-8.974036646991053,-8.974036646991053,0.0,1.187638259005474e-32
human work read correctly,13,9.001306266576137e-06,-7.105427357601002e-15,9.001306273681564e-06,1.0027869977035703e-16,1.0027869977035703e-16,0.0,-8.974036646991053,-8.974036646991053,0.0,5.6183215521996087e-33
human work read correctly,14,9.001306266576137e-06,-7.105427357601002e-15,9.001306273681564e-06,2.869551252538898e-18,2.869551252538898e-18,0.0,-8.974036646991053,-8.974036646991053,0.0,2.1175734056031e-36
human work read correctly,15,9.001306266576137e-06,-7.105427357601002e-15,9.001306273681564e-06,6.23815489682371e-20,6.23815489682371e-20,0.0,-8.974036646991053,-8.974036646991053,0.0,7.790694922589236e-40
human work read correctly,16,9.001306266576137e-06,-7.105427357601002e-15,9.001306273681564e-06,1.3561206297442926e-21,1.3561206297442926e-21,0.0,-8.974036646991053,-8.974036646991053,0.0,8.675389308416903e-42
human work read correctly,17,9.001306266576137e-06,-7.105427357601002e-15,9.001306273681564e-06,2.948088325531053e-23,2.948088325531053e-23,0.0,-8.974036646991053,-8.974036646991053,0.0,3.140818734570786e-45
human work read correctly,18,9.001306266576137e-06,-7.105427357601002e-15,9.001306273681564e-06,6.408887664198e-25,6.408887664198e-25,0.0,-8.974036646991053,-8.974036646991053,0.0,1.137134125901688e-48
human work read correctly,19,9.001306266576137e-06,-7.105427357601002e-15,9.001306273681564e-06,1.3932364487386924e-26,1.3932364487386924e-26,0.0,-8.974036646991053,-8.974036646991053,0.0,1.2364239612585959e-50
